# index, _pos
323,"array([  1.97602933, -24.41790645])"
324,"array([  1.89625256, -24.37891413])"
325,"array([  1.46301456, -24.4221352 ])"
326,"array([  1.75675236, -24.44634985])"
327,"array([  1.50791906, -24.36650662])"
328,"array([  1.84791234, -24.42286351])"
329,"array([  1.79524157, -24.41591425])"
330,"array([  2.18684122, -24.40417608])"
331,"array([  2.30179119, -25.78240562])"
332,"array([  2.7326175 , -25.31322202])"
333,"array([  2.30229765, -25.31965351])"
334,"array([  2.26401723, -25.10979517])"
335,"array([  2.31012359, -25.68454931])"
336,"array([  2.60421446, -25.79849329])"
337,"array([  2.71651698, -25.99189184])"
338,"array([  1.97222094, -25.48093604])"
339,"array([  2.45587455, -25.74825663])"
340,"array([  2.73323961, -25.72186486])"
341,"array([  2.56797539, -25.72059383])"
342,"array([  2.69608255, -25.36117923])"
343,"array([  2.51128586, -25.30844327])"
344,"array([  2.50442526, -25.04356377])"
345,"array([  2.28312792, -25.57653881])"
346,"array([  1.96113374, -26.03244381])"
347,"array([  2.43463196, -25.80718474])"
348,"array([  2.76195193, -25.16494735])"
349,"array([  2.36744162, -26.01321289])"
350,"array([  2.50789266, -25.64243603])"
351,"array([  2.62496845, -25.28253088])"
352,"array([  2.02064997, -25.70519619])"
353,"array([  2.63249573, -25.92521542])"
354,"array([  2.21765358, -26.00186631])"
355,"array([  2.55448115, -25.35373783])"
356,"array([  2.41677484, -26.05025756])"
357,"array([  2.68152082, -25.74883509])"
358,"array([  2.10033803, -25.86699258])"
359,"array([  2.38896548, -25.77400406])"
360,"array([  2.32121545, -25.95934029])"
361,"array([  2.3898008, -25.1311901])"
362,"array([  2.72158143, -25.79334856])"
363,"array([  2.12580095, -26.1083478 ])"
364,"array([  2.13401139, -25.92559027])"
365,"array([  2.45188583, -25.95232601])"
366,"array([  2.73368889, -26.05743311])"
367,"array([  2.19878478, -26.29698712])"
368,"array([  1.98424314, -25.3948333 ])"
369,"array([  1.94723552, -25.35547505])"
370,"array([  2.66238076, -25.98401308])"
371,"array([  2.82407003, -25.73370456])"
372,"array([  2.06352684, -25.30838155])"
373,"array([  2.95729199, -26.01139328])"
374,"array([  2.68633473, -26.11611253])"
375,"array([  2.76316154, -25.56218583])"
376,"array([  2.86271349, -25.42687304])"
377,"array([  2.86421536, -25.8617633 ])"
378,"array([  2.73930839, -25.92995305])"
379,"array([  2.25670856, -26.07239442])"
380,"array([  2.55582608, -25.10353698])"
381,"array([  2.28467283, -26.01037036])"
382,"array([  2.32142179, -26.18812675])"
383,"array([  2.49913456, -26.51910981])"
384,"array([  2.03989066, -26.37550379])"
385,"array([  2.42841526, -26.52097035])"
386,"array([  1.78842763, -26.02566249])"
387,"array([  1.78239427, -26.28181459])"
388,"array([  2.19666937, -26.49205764])"
389,"array([  1.85240316, -26.32479901])"
390,"array([  1.96786459, -25.86137797])"
391,"array([  2.1370928 , -26.54583803])"
392,"array([  2.58975856, -26.20664493])"
393,"array([  1.87531902, -26.22571082])"
394,"array([  1.81018706, -25.92660138])"
395,"array([  2.09358571, -26.45950682])"
396,"array([  2.76063597, -25.86045999])"
397,"array([  1.99893446, -25.52659194])"
398,"array([  1.92596298, -26.29894092])"
399,"array([  2.67028581, -26.43722832])"
400,"array([  1.74184409, -25.9812493 ])"
401,"array([  1.84879635, -25.97443003])"
402,"array([  2.79498411, -26.0467692 ])"
403,"array([  2.0208644 , -26.51275193])"
404,"array([  2.80867039, -25.89293707])"
405,"array([  2.34822726, -26.54813662])"
406,"array([  2.56785364, -25.91580853])"
407,"array([  2.44600136, -26.4291936 ])"
408,"array([  1.95561181, -26.11092976])"
409,"array([  2.62764009, -25.68132777])"
410,"array([  1.67931247, -25.91842966])"
411,"array([  1.80952555, -25.73627022])"
412,"array([  1.82447172, -25.8047885 ])"
413,"array([  1.76067827, -25.78681846])"
414,"array([  2.33007629, -26.06048295])"
415,"array([  1.75049228, -25.90592554])"
416,"array([  1.98341376, -26.17127726])"
417,"array([  2.69134704, -25.93322854])"
418,"array([  2.48327621, -26.08738345])"
419,"array([  2.80898872, -25.81972902])"
420,"array([  2.54632851, -26.09261147])"
421,"array([  2.14541054, -26.37391467])"
422,"array([  2.41669608, -25.58530404])"
423,"array([  2.30082449, -26.30867844])"
424,"array([  2.30617724, -26.12182292])"
425,"array([  2.5738891 , -25.84403531])"
426,"array([  2.55410457, -26.02744582])"
427,"array([  2.49386319, -26.02503587])"
428,"array([  2.56781015, -26.15015815])"
429,"array([  2.83477493, -25.58875401])"
430,"array([  2.1910529 , -24.73066834])"
431,"array([  2.8933061 , -25.36353783])"
432,"array([  2.57659953, -25.24353248])"
433,"array([  2.00406098, -24.48817732])"
434,"array([  2.33501707, -25.35410325])"
435,"array([  3.04125834, -24.67129163])"
436,"array([  2.7089416 , -25.12150229])"
437,"array([  2.44078618, -24.38152765])"
438,"array([  2.45340285, -25.03710823])"
439,"array([  2.34360906, -25.1549134 ])"
440,"array([  2.55890416, -24.50465119])"
441,"array([  2.22526222, -24.94753064])"
442,"array([  2.50881409, -25.12281061])"
443,"array([  2.71286683, -24.48488146])"
444,"array([  2.38436719, -24.96678551])"
445,"array([  2.85742814, -25.26392409])"
446,"array([  2.68793656, -24.98651   ])"
447,"array([  3.39430609, -24.5322693 ])"
448,"array([  3.02734073, -24.35778078])"
449,"array([  2.91384218, -24.40928968])"
450,"array([  2.78058128, -24.91480031])"
451,"array([  1.87441735, -24.84707871])"
452,"array([  3.0062693 , -24.05586728])"
453,"array([  2.1851803 , -24.44188459])"
454,"array([  2.45487534, -24.50534112])"
455,"array([  2.31173229, -25.10571771])"
456,"array([  3.03587112, -24.41537436])"
457,"array([  3.07800426, -24.73744073])"
458,"array([  3.37503086, -24.45399699])"
459,"array([  2.90013008, -25.20706292])"
460,"array([  2.41186668, -24.48408011])"
461,"array([  2.29633462, -25.26233871])"
462,"array([  2.8230445 , -25.09402034])"
463,"array([  3.03235022, -25.10509449])"
464,"array([  2.46877927, -24.90333807])"
465,"array([  2.68584737, -24.66832117])"
466,"array([  3.03906002, -24.58989705])"
467,"array([  2.85311797, -24.29763527])"
468,"array([  3.06428645, -24.17238359])"
469,"array([  2.53242176, -24.68658069])"
470,"array([  3.12115545, -25.00711998])"
471,"array([  3.07903824, -24.96487324])"
472,"array([  3.07108702, -25.03115875])"
473,"array([  3.1581418 , -25.04722717])"
474,"array([  3.09596042, -25.07919534])"
475,"array([  3.02496125, -24.9702905 ])"
476,"array([  2.90697353, -24.35170086])"
477,"array([  2.474741 , -24.6996577])"
478,"array([  3.34007218, -24.39228422])"
479,"array([  2.78018111, -24.48581885])"
480,"array([  3.22549969, -25.11471662])"
481,"array([  3.14403017, -25.25553305])"
482,"array([  3.0799318 , -24.53529201])"
483,"array([  2.70298424, -24.26850006])"
484,"array([  2.09947348, -24.10195061])"
485,"array([  2.56014527, -24.8606786 ])"
486,"array([  1.79194478, -24.8101559 ])"
487,"array([  3.23384716, -24.30384711])"
488,"array([  3.02287783, -25.23000459])"
489,"array([  3.16856383, -24.23612152])"
490,"array([  2.34944202, -24.34112675])"
491,"array([  2.66021805, -24.51251921])"
492,"array([  3.08974565, -24.34281488])"
493,"array([  3.06128232, -24.28671596])"
494,"array([  2.22191801, -24.65637023])"
495,"array([  2.00165868, -24.31673327])"
496,"array([  2.65102525, -23.9647074 ])"
497,"array([  2.63754406, -25.00392572])"
498,"array([  2.34773493, -24.28227667])"
499,"array([  2.81720867, -24.04218932])"
500,"array([  2.45497819, -24.14505079])"
501,"array([  2.60982092, -24.46352895])"
502,"array([  2.68084413, -24.36708504])"
503,"array([  2.18418168, -24.51508881])"
504,"array([  1.90432698, -24.69396968])"
505,"array([  2.6147973, -24.3051327])"
506,"array([  2.79673448, -24.28871455])"
507,"array([  2.41559095, -24.67114094])"
508,"array([  2.85989144, -24.39242707])"
509,"array([  2.49271869, -24.6060436 ])"
510,"array([  2.23482334, -24.84259415])"
511,"array([  2.37630512, -24.52535974])"
512,"array([  2.49481284, -24.29160607])"
513,"array([  2.28492897, -24.97308229])"
514,"array([  2.01664367, -24.64583661])"
515,"array([  2.83371843, -24.34266927])"
516,"array([  2.66803042, -24.01767701])"
517,"array([  2.66293854, -24.16789096])"
518,"array([  2.24089827, -24.36830357])"
519,"array([  2.23163939, -24.2630838 ])"
520,"array([  2.66550134, -24.31237579])"
521,"array([  2.39184528, -24.2095501 ])"
522,"array([  2.52549647, -23.92472814])"
523,"array([  2.53237517, -24.20888857])"
524,"array([  2.63468726, -24.41090013])"
525,"array([  2.60552429, -24.01957924])"
526,"array([  2.86680221, -24.78271497])"
527,"array([  2.48752796, -23.99421629])"
528,"array([  2.28998136, -24.26237541])"
529,"array([  2.34706297, -24.22887188])"
530,"array([  1.80029601, -24.68441522])"
531,"array([  2.33273273, -24.68230362])"
532,"array([  2.62540929, -24.21161333])"
533,"array([  2.65461763, -24.25179515])"
534,"array([  2.31416506, -24.62181609])"
535,"array([  2.05330689, -24.51710069])"
536,"array([  2.69301176, -24.41610679])"
537,"array([  2.59158502, -24.66617805])"
538,"array([  2.17271468, -24.56565427])"
539,"array([  2.97041135, -25.05891216])"
540,"array([  2.61008026, -24.13511788])"
541,"array([  2.41681723, -24.8745969 ])"
542,"array([  2.97302322, -23.85577596])"
543,"array([  2.23292723, -24.20118528])"
544,"array([  2.51053122, -24.49611999])"
545,"array([  2.46469589, -23.92704255])"
546,"array([  2.19847425, -23.9543251 ])"
547,"array([  2.69362044, -24.5420861 ])"
548,"array([  2.28508253, -24.21981069])"
549,"array([  2.42801453, -24.09700179])"
550,"array([  2.36439556, -23.98537399])"
551,"array([  1.93598995, -24.72396712])"
552,"array([  2.48219669, -24.18148144])"
553,"array([  2.57841068, -24.17631017])"
554,"array([  2.39569466, -24.59239906])"
555,"array([  2.35464074, -24.59711387])"
556,"array([  2.77689208, -24.69412866])"
557,"array([  2.38825799, -23.86574092])"
558,"array([  2.89801104, -24.85604435])"
559,"array([  2.50993125, -24.05959103])"
560,"array([  2.69786144, -24.20374665])"
561,"array([  2.97134483, -23.9711794 ])"
562,"array([  2.58505937, -24.07785336])"
563,"array([  2.30408648, -23.98181837])"
564,"array([  2.41897937, -23.98787382])"
565,"array([  2.85698548, -23.89225302])"
566,"array([  2.54308196, -24.01664132])"
567,"array([  2.57627451, -24.33585448])"
568,"array([  2.36987152, -24.14124318])"
569,"array([  2.69036446, -24.12481878])"
570,"array([  2.74666552, -24.2504146 ])"
571,"array([  2.26665288, -24.5094787 ])"
572,"array([  2.28690508, -24.55129234])"
573,"array([  2.32139778, -24.46353855])"
574,"array([  2.27595054, -24.16839387])"
575,"array([  2.27622467, -24.46091596])"
576,"array([  2.56870941, -23.96330578])"
577,"array([  2.27509299, -23.92646125])"
578,"array([  1.85191168, -24.72181347])"
579,"array([  2.02064163, -24.86845284])"
580,"array([  1.8579283 , -24.66524417])"
581,"array([  2.06078977, -24.40561697])"
582,"array([  2.27872847, -24.71983883])"
583,"array([  2.20118627, -24.10225423])"
584,"array([  2.4403171 , -25.15585223])"
585,"array([  2.46261816, -24.05025019])"
586,"array([  2.49260593, -24.3927874 ])"
587,"array([  2.54637711, -24.2846305 ])"
588,"array([  2.44668994, -24.21608867])"
589,"array([  2.64437675, -24.09252513])"
590,"array([  2.07549908, -24.56814655])"
591,"array([  2.53135694, -24.34004284])"
592,"array([  2.34597182, -24.03757285])"
593,"array([  2.23576066, -24.05684378])"
594,"array([  2.28668192, -24.04263703])"
595,"array([  2.15446376, -24.08662413])"
596,"array([  2.18693203, -24.17221968])"
597,"array([  2.14115166, -24.14366647])"
598,"array([  2.26660988, -24.09412027])"
599,"array([  2.37401805, -24.09154132])"
600,"array([  2.08092704, -24.15801353])"
601,"array([  1.9531417 , -24.18144716])"
602,"array([  1.89021143, -24.15658035])"
603,"array([  1.93831569, -24.05598352])"
604,"array([  2.23495317, -24.14036897])"
605,"array([  2.32245211, -24.08436404])"
606,"array([  2.02075392, -24.19510461])"
607,"array([  1.99406489, -24.14579062])"
608,"array([  2.53338474, -24.15488928])"
609,"array([  2.40826883, -24.04682909])"
610,"array([  2.4076828 , -24.16530421])"
611,"array([  2.48513972, -24.10491658])"
612,"array([  2.31232622, -24.13423542])"
613,"array([  2.5417747 , -24.10649719])"
614,"array([  2.04147238, -24.11799787])"
615,"array([  2.12491062, -24.02921929])"
616,"array([  2.06374581, -24.05863624])"
617,"array([  2.18669377, -24.03518911])"
618,"array([  1.99810236, -24.06159252])"
619,"array([  3.151304  , -24.28850274])"
620,"array([  2.49614305, -24.24607556])"
621,"array([  2.83280576, -23.9749876 ])"
622,"array([  3.20827517, -24.1527408 ])"
623,"array([  2.76248119, -25.42868034])"
624,"array([  2.61059897, -25.19009651])"
625,"array([  2.76087398, -24.03279633])"
626,"array([  3.21993476, -24.41890471])"
627,"array([  3.26964656, -24.37155534])"
628,"array([  3.03761793, -23.94882556])"
629,"array([  2.7645628 , -25.10243038])"
630,"array([  3.23680399, -24.06373621])"
631,"array([  2.78745671, -23.8592342 ])"
632,"array([  3.23605491, -25.04463239])"
633,"array([  3.31731506, -24.69659629])"
634,"array([  2.06802626, -23.97492195])"
635,"array([  2.58209439, -24.71808397])"
636,"array([  3.28765078, -24.46520618])"
637,"array([  3.11886936, -24.88906891])"
638,"array([  3.16181077, -24.84301041])"
639,"array([  3.14068147, -24.78982424])"
640,"array([  3.20127433, -24.89456287])"
641,"array([  2.27969723, -25.03776006])"
642,"array([  2.66860997, -24.4612334 ])"
643,"array([  3.2348888 , -24.59846105])"
644,"array([  3.16307755, -24.58720322])"
645,"array([  3.22005634, -24.48000785])"
646,"array([  3.19248361, -24.54055773])"
647,"array([  3.19904792, -24.35373128])"
648,"array([  3.14127379, -24.50960982])"
649,"array([  3.14840943, -24.38313416])"
650,"array([  3.2554253, -24.541859 ])"
651,"array([  3.16124509, -24.44845928])"
652,"array([  3.23165999, -24.65780017])"
653,"array([  3.35093871, -24.62608005])"
654,"array([  3.2893303 , -24.61455116])"
655,"array([  3.3212654 , -24.54548399])"
656,"array([  2.61091715, -24.26138987])"
