# index, label, _pos
168,32669_w,"array([ 6.04770354, -7.79745925])"
169,334093_w,"array([ 6.13650065, -7.31010365])"
170,487272_w,"array([ 5.30679397, -7.05614696])"
171,63113_w,"array([ 6.03381273, -7.59957867])"
172,1550_i,"array([6.02882464, 4.69526756])"
173,259475_w,"array([5.78938565, 4.65531439])"
174,1577_i,"array([ 6.45404058, -4.8656142 ])"
175,15858_i,"array([-2.20412137,  1.82251605])"
176,554656_w,"array([-2.33203448,  1.61757703])"
177,1604_i,"array([ 4.16799621, -7.0933755 ])"
178,242683_w,"array([ 4.78910042, -6.76135467])"
179,305745_w,"array([ 3.3570897 , -6.65335216])"
180,39868_w,"array([ 4.50247885, -7.51150745])"
181,42264_w,"array([ 3.28937052, -6.80785901])"
182,493280_w,"array([ 4.77534376, -7.76552517])"
183,532458_w,"array([ 4.65925073, -6.92840585])"
184,16148_i,"array([ 9.44688843, -2.10847682])"
185,11583_w,"array([ 9.68294446, -1.96592652])"
186,221043_w,"array([10.06629187, -1.89945189])"
187,223963_w,"array([ 9.87614038, -1.88804424])"
188,249614_w,"array([ 9.87275076, -2.09842332])"
189,260282_w,"array([ 9.48862839, -1.80122682])"
190,281236_w,"array([ 8.51931132, -2.68203488])"
191,300425_w,"array([ 8.49281172, -2.41615794])"
192,306993_w,"array([ 9.7832458 , -1.53296858])"
193,307073_w,"array([ 9.40595914, -1.59901769])"
194,307152_w,"array([10.08296229, -2.10746887])"
195,314349_w,"array([10.08925773, -1.63494048])"
196,314676_w,"array([ 9.88971321, -1.7021656 ])"
197,316192_w,"array([ 9.58526635, -1.50834054])"
198,318361_w,"array([ 9.68269657, -1.7277436 ])"
199,370604_w,"array([ 9.74938222, -2.28886975])"
200,498753_w,"array([ 9.17008763, -2.95783664])"
201,550647_w,"array([ 9.97184865, -2.30334124])"
202,595955_w,"array([ 8.65082031, -2.5284795 ])"
203,1632_i,"array([ 3.96257973, -7.53956257])"
204,274997_w,"array([ 3.29818522, -7.22720866])"
205,291193_w,"array([ 3.50488068, -7.9412023 ])"
206,306491_w,"array([ 3.11938614, -7.26962208])"
207,37474_w,"array([ 4.45897729, -7.68314433])"
208,443891_w,"array([ 4.38157388, -7.65058698])"
209,495451_w,"array([ 4.08113695, -7.23541299])"
210,610906_w,"array([ 4.01080086, -7.36195127])"
211,16441_i,"array([ 6.77630158, -5.21650695])"
212,265094_w,"array([ 6.45314964, -5.59910964])"
213,313506_w,"array([ 6.63125064, -5.51770242])"
