# index, _pos
261,"array([ 2.86395977, -0.82582983])"
262,"array([ 3.43488185, -0.44781283])"
263,"array([ 3.4022779 , -0.40624616])"
264,"array([ 3.33632656, -0.42505782])"
265,"array([ 3.26867352, -0.93331673])"
266,"array([ 2.86327128, -0.91088876])"
267,"array([ 3.23085224, -0.96371703])"
268,"array([ 3.23739177, -0.3018496 ])"
269,"array([ 3.39029642, -0.50686418])"
270,"array([ 3.02860338, -1.05318799])"
271,"array([ 3.38017388, -0.48913406])"
272,"array([ 3.39363963, -0.52985196])"
273,"array([ 3.27689824, -1.09412637])"
274,"array([ 3.17177977, -0.28788992])"
275,"array([ 3.36797793, -0.86564438])"
276,"array([ 3.32076559, -0.4583464 ])"
277,"array([ 3.2481373 , -0.67748216])"
278,"array([ 3.2894927 , -0.68059404])"
279,"array([ 3.37773926, -0.54461575])"
280,"array([ 3.05722362, -0.9805912 ])"
281,"array([ 3.36087611, -0.61487465])"
282,"array([ 3.22791617, -0.66342978])"
283,"array([ 3.25687156, -0.72179174])"
284,"array([ 3.5210086 , -0.65395031])"
285,"array([ 3.29634045, -0.39078838])"
286,"array([ 3.367116  , -0.52188867])"
287,"array([ 2.83273344, -0.41040067])"
288,"array([ 3.13835396, -0.41424481])"
289,"array([ 3.0820985 , -0.29824319])"
290,"array([ 3.00814846, -0.21224563])"
291,"array([ 2.82374247, -0.50048029])"
292,"array([ 2.74164898, -0.472826  ])"
293,"array([ 2.89535859, -0.52133611])"
294,"array([ 3.00856959, -0.48899468])"
295,"array([ 2.9108417 , -0.47779072])"
296,"array([ 2.85526223, -0.60076295])"
297,"array([ 2.67198676, -0.57807072])"
298,"array([ 2.93587698, -0.41728597])"
299,"array([ 3.19620955, -0.29452621])"
300,"array([ 2.72577096, -0.57150515])"
301,"array([ 2.82378964, -0.44126645])"
302,"array([ 2.70088217, -0.39261519])"
303,"array([ 2.88549726, -0.14362263])"
304,"array([ 3.06215848, -0.45127811])"
305,"array([ 2.63796079, -0.37146411])"
306,"array([ 2.71708567, -0.52364478])"
307,"array([ 2.66797594, -0.38660193])"
308,"array([ 2.74783577, -0.64198174])"
309,"array([ 3.02293984, -0.41747261])"
310,"array([ 2.68675855, -0.41182738])"
311,"array([ 2.77969612, -0.57643935])"
312,"array([ 2.72384616, -0.545006  ])"
313,"array([ 2.73325238, -0.31464087])"
314,"array([ 2.7806487 , -0.38423002])"
315,"array([ 2.5850138 , -0.41259565])"
316,"array([ 3.08691621, -0.49712794])"
317,"array([ 2.6348581 , -0.49127894])"
318,"array([ 2.75687787, -0.57204754])"
319,"array([ 2.7661399 , -0.36428611])"
320,"array([ 2.91749106, -0.27752611])"
321,"array([ 2.82897642, -0.22863269])"
322,"array([ 2.80058182, -0.30678106])"
323,"array([ 2.9797301 , -0.61482421])"
324,"array([ 3.00741311, -0.58276906])"
325,"array([ 2.83262138, -0.71471356])"
326,"array([ 3.04888381, -0.62209613])"
327,"array([ 2.66890963, -0.43251574])"
328,"array([ 2.69176388, -0.51090125])"
329,"array([ 2.9344063 , -0.33500711])"
330,"array([ 2.85290002, -0.32948903])"
331,"array([ 2.80377162, -0.21979887])"
332,"array([ 2.64360869, -0.45412674])"
333,"array([ 2.90706934, -0.31481337])"
334,"array([ 2.81170403, -0.4608138 ])"
335,"array([ 2.75846857, -0.60893189])"
336,"array([ 2.59258008, -0.18114134])"
337,"array([ 2.5064377 , -0.27563886])"
338,"array([ 2.74711919, -0.5362589 ])"
339,"array([ 2.81959588, -0.32003504])"
340,"array([ 2.80396039, -0.16670345])"
341,"array([ 2.91392962, -0.15905884])"
342,"array([ 2.8661896 , -0.11785587])"
343,"array([ 2.70784455, -0.29319079])"
344,"array([ 2.8608861, -0.1938932])"
345,"array([ 2.88616634, -0.24323636])"
346,"array([ 2.67806614, -0.27672085])"
347,"array([ 2.84347778, -0.16512528])"
348,"array([ 2.84713971, -0.26997624])"
349,"array([ 2.53200682, -0.2941438 ])"
350,"array([ 2.82990727, -0.19225123])"
351,"array([ 2.7331337, -0.2327657])"
352,"array([ 3.04856217, -0.50744513])"
353,"array([ 2.9461512 , -0.15314492])"
354,"array([ 2.85339018, -0.21999894])"
355,"array([ 2.97360761, -0.50421981])"
356,"array([ 2.70732616, -0.32908801])"
357,"array([ 2.87933287, -0.17673262])"
358,"array([ 2.83354002, -0.58116732])"
359,"array([ 2.78145803, -0.24917233])"
360,"array([ 3.00877204, -0.46471361])"
361,"array([ 2.64707549, -0.41123252])"
362,"array([ 2.64601139, -0.27243621])"
363,"array([ 2.81813426, -0.25735586])"
364,"array([ 2.77413551, -0.21956381])"
365,"array([ 2.71348903, -0.25694607])"
366,"array([ 2.78748879, -0.44927176])"
367,"array([ 2.65211662, -0.52920055])"
368,"array([ 2.8851747 , -0.41485913])"
369,"array([ 2.56517975, -0.21063339])"
370,"array([ 2.92309266, -0.51014264])"
371,"array([ 2.76947477, -0.51395809])"
372,"array([ 2.73766954, -0.2865793 ])"
373,"array([ 2.80537239, -0.61990854])"
374,"array([ 2.70537238, -0.43475037])"
375,"array([ 2.59743755, -0.3812979 ])"
376,"array([ 2.63271912, -0.13473039])"
377,"array([ 2.56627032, -0.47661345])"
378,"array([ 2.63118901, -0.33251882])"
379,"array([ 2.75264013, -0.33734367])"
380,"array([ 2.78802406, -0.33542259])"
381,"array([ 2.55823405, -0.52337418])"
382,"array([ 2.66397191, -0.47514152])"
383,"array([ 2.5791462 , -0.50163197])"
384,"array([ 2.50775111, -0.56474452])"
385,"array([ 2.74520559, -0.19779061])"
386,"array([ 2.80703772, -0.59649314])"
387,"array([ 2.60937731, -0.30571008])"
388,"array([ 2.55671747, -0.25885151])"
389,"array([ 2.64640333, -0.30775032])"
390,"array([ 2.7351194 , -0.44146534])"
391,"array([ 2.71426447, -0.48796572])"
392,"array([ 2.71462757, -0.46165833])"
393,"array([ 2.80483293, -0.42519015])"
394,"array([ 2.80080232, -0.35978117])"
395,"array([ 2.9221565, -0.128228 ])"
396,"array([ 2.92161326, -0.25085945])"
397,"array([ 2.82136308, -0.28554969])"
398,"array([ 2.6770111 , -0.30211022])"
399,"array([ 2.77949377, -0.41126162])"
400,"array([ 2.71869428, -0.41225519])"
401,"array([ 2.65825293, -0.3537231 ])"
402,"array([ 2.9088034 , -0.34113754])"
403,"array([ 2.68137772, -0.54144239])"
404,"array([ 3.09739521, -0.60125298])"
405,"array([ 3.05045859, -0.48115403])"
406,"array([ 3.31136399, -0.6694266 ])"
407,"array([ 3.19639007, -0.2021243 ])"
408,"array([ 2.93700714, -0.59644942])"
409,"array([ 3.35689195, -0.76054349])"
410,"array([ 3.0790641 , -0.46229172])"
411,"array([ 3.29454112, -0.29373977])"
412,"array([ 3.07760653, -0.35810757])"
413,"array([ 3.24914785, -0.38567955])"
414,"array([ 3.24471815, -0.45984635])"
415,"array([ 3.24979168, -0.35909689])"
416,"array([ 3.35732367, -0.55025953])"
417,"array([ 3.16388969, -0.53186075])"
418,"array([ 3.14451395, -0.28634247])"
419,"array([ 3.1692654 , -0.50664722])"
420,"array([ 3.15007435, -0.33526336])"
421,"array([ 3.14791881, -0.61173185])"
422,"array([ 3.57624736, -0.3571094 ])"
423,"array([ 3.53550352, -0.70974805])"
424,"array([ 3.4845467, -0.2371184])"
425,"array([ 3.2075583 , -0.42235366])"
426,"array([ 3.27786791, -0.35207543])"
427,"array([ 3.10980015, -0.37264935])"
428,"array([ 3.32136817, -0.30775589])"
429,"array([ 3.23971548, -0.24171541])"
430,"array([ 3.14749745, -0.58973375])"
431,"array([ 3.22613856, -0.34816863])"
432,"array([ 3.16609611, -0.56855079])"
433,"array([ 3.28730125, -0.21557065])"
434,"array([ 3.27859226, -0.73405149])"
435,"array([ 3.16113859, -0.25634871])"
436,"array([ 3.5389557 , -0.31836645])"
437,"array([ 3.47671643, -0.27575956])"
438,"array([ 3.27403421, -0.49398602])"
439,"array([ 3.02227849, -0.56535955])"
440,"array([ 3.29881626, -0.24062278])"
441,"array([ 3.22883284, -0.21030785])"
442,"array([ 3.26220906, -0.2132115 ])"
443,"array([ 3.27165756, -0.24060563])"
444,"array([ 3.25783796, -0.18635584])"
445,"array([ 3.32582769, -0.24329008])"
446,"array([ 3.39255877, -0.7809557 ])"
447,"array([ 3.56699592, -0.3847687 ])"
448,"array([ 3.45027727, -0.43000212])"
449,"array([ 3.29219891, -0.18089901])"
450,"array([ 3.3366936 , -0.18326808])"
451,"array([ 3.54046136, -0.28233986])"
452,"array([ 3.41252954, -0.25084247])"
453,"array([ 3.51369798, -0.25462937])"
454,"array([ 3.40066272, -0.35771398])"
455,"array([ 3.18173298, -0.42695291])"
456,"array([ 3.20941461, -0.63523292])"
457,"array([ 3.28106004, -0.55397187])"
458,"array([ 3.39412448, -0.29354055])"
459,"array([ 3.37146767, -0.2287506 ])"
460,"array([ 3.50822583, -0.29283653])"
461,"array([ 3.30521867, -0.63015877])"
462,"array([ 3.27120778, -0.66549942])"
463,"array([ 3.42081111, -0.42401286])"
464,"array([ 3.4395751 , -0.49966811])"
465,"array([ 3.4635636 , -0.67781247])"
466,"array([ 3.27453929, -0.63354155])"
467,"array([ 3.31171673, -0.58148238])"
468,"array([ 3.42614935, -0.69383032])"
469,"array([ 3.46262494, -0.50330029])"
470,"array([ 3.60199532, -0.5926305 ])"
471,"array([ 3.48074013, -0.53990794])"
472,"array([ 3.41331268, -0.49556608])"
473,"array([ 3.47235547, -0.47551244])"
474,"array([ 3.49207425, -0.49276067])"
475,"array([ 3.43051577, -0.56772195])"
476,"array([ 3.36535467, -0.37699737])"
477,"array([ 3.22596136, -0.61029416])"
478,"array([ 3.36555586, -0.59306325])"
479,"array([ 3.45654205, -0.55841187])"
480,"array([ 3.51687875, -0.57916056])"
481,"array([ 3.56613813, -0.55300399])"
482,"array([ 3.47870432, -0.57358813])"
483,"array([ 3.45862446, -0.52872605])"
484,"array([ 3.58520978, -0.50457565])"
485,"array([ 3.47572622, -0.61037465])"
486,"array([ 3.50715489, -0.53824068])"
487,"array([ 3.57643778, -0.47033956])"
488,"array([ 3.53654715, -0.49669498])"
489,"array([ 3.49295742, -0.45816559])"
490,"array([ 3.46990976, -0.44648753])"
491,"array([ 3.46168344, -0.3054134 ])"
492,"array([ 3.49895123, -0.56134217])"
493,"array([ 3.49604332, -0.59701284])"
494,"array([ 3.33850792, -0.53763353])"
495,"array([ 3.48542694, -0.51416219])"
496,"array([ 3.40649419, -0.4454367 ])"
497,"array([ 3.0388378 , -0.19445689])"
498,"array([ 3.3560852 , -0.71539728])"
