# index, label, _pos
256,18828_i,"array([-1.63701989, -7.02701605])"
257,255001_w,"array([-1.47107008, -7.66555489])"
258,260901_w,"array([-0.48335926, -6.38497394])"
259,264873_w,"array([-2.11464523, -7.53719064])"
260,312161_w,"array([-1.60913224, -6.59008187])"
261,317023_w,"array([-1.92254298, -7.01104976])"
262,332677_w,"array([-2.05198596, -7.63070457])"
263,332951_w,"array([-1.87867886, -7.69705533])"
264,344344_w,"array([-1.79747068, -7.55018004])"
265,441691_w,"array([-1.70252428, -7.59561721])"
266,442247_w,"array([-1.82070519, -6.95683954])"
267,55972_w,"array([-1.70065364, -6.94757107])"
268,57360_w,"array([-1.99968872, -7.5352645 ])"
269,59644_w,"array([-1.60690201, -7.57285359])"
270,597445_w,"array([-1.86661411, -7.08291878])"
271,603730_w,"array([-1.17555424, -6.23345882])"
272,73431_w,"array([-1.94771596, -7.63948009])"
273,85504_w,"array([-1.89454566, -7.55720715])"
274,19078_i,"array([-0.48878693, -6.82216579])"
275,254063_w,"array([-0.62822319, -6.84178094])"
276,258973_w,"array([-0.77373669, -6.84774014])"
277,268232_w,"array([-0.51935923, -7.23820012])"
278,3376_w,"array([-0.16000141, -7.03889303])"
279,591650_w,"array([-0.72835506, -6.63953187])"
280,617332_w,"array([-0.58143126, -6.80282741])"
281,19328_i,"array([-1.49855634, -6.79456889])"
282,100525_w,"array([-1.64536649, -7.40105273])"
283,16059_w,"array([-1.94666606, -6.19638279])"
284,184773_w,"array([-1.59968038, -7.22965656])"
285,200163_w,"array([-1.55197261, -7.42080637])"
286,273815_w,"array([-1.10445853, -6.26133694])"
287,332827_w,"array([-1.48119121, -6.60220093])"
288,333249_w,"array([-1.78607239, -6.6982205 ])"
289,369318_w,"array([-1.77151503, -7.26003627])"
290,486226_w,"array([-1.74811406, -7.02582916])"
291,486940_w,"array([-1.78094383, -6.80161036])"
292,693406_w,"array([-1.90479521, -6.77708487])"
293,72288_w,"array([-1.75918948, -6.1307964 ])"
294,19580_i,"array([-2.62695037, -5.35933905])"
