# source, target, direction, screens, assays, database, reference, exp_direct, exp_indirect, comment
2277,2277,fbgn1=fbgn2,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2278,216,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2279,2279,fbgn1=fbgn2,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2279,2280,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2281,2281,fbgn1=fbgn2,"Screen_4,","Cen X 2u,",None,None,None,None,None
2282,123,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2282,2283,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2282,1237,both,"Screen_1,Screen_2,Screen_3,Screen_4,","Cen X 2u,Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2282,2284,both,"Screen_1,Screen_2,Screen_4,","Cen X 2u,Cen X Cen,",DroID;BioGrid;mentha;FlyBase;IntAct,FBrf0218395;22036573;FBrf0235788,MI:1112;MI:0397;MI:0018,MI:0943;MI:0007;MI:0046,FBrf0235788 is part of FlyBi data
2282,2282,fbgn1=fbgn2,"Screen_1,Screen_4,","Cen X 2u,Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2284,2284,fbgn1=fbgn2,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2284,1237,both,"Screen_1,Screen_2,Screen_4,","Cen X 2u,Cen X Cen,",DroID;BioGrid;mentha;FlyBase;IntAct,FBrf0218395;22036573;FBrf0235788,MI:1112;MI:0397;MI:0018,MI:0943;MI:0007;MI:0046,FBrf0235788 is part of FlyBi data
2285,1949,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:1112;MI:0397,None,FBrf0235788 is part of FlyBi data
2286,2286,fbgn1=fbgn2,"Screen_4,","Cen X 2u,",None,None,None,None,None
2287,371,ad->db,"Screen_1,","Cen X Cen,",DroID;BioGrid;mentha;FlyBase;DIP;IntAct,14605208;FBrf0235788,MI:0397;MI:1112;MI:0018,None,FBrf0235788 is part of FlyBi data
2287,2287,fbgn1=fbgn2,"Screen_3,","Cen X 2u,",None,None,None,None,None
2287,11,both,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2288,1321,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2288,408,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2289,631,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2289,519,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2289,824,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2289,30,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2290,46,ad->db,"Screen_3,Screen_4,","Cen X 2u,",None,None,None,None,None
2291,821,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2292,887,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2294,81,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2294,429,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2297,957,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2297,680,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2297,210,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2297,1831,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2297,1137,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2298,226,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2299,2300,ad->db,"Screen_1,","Cen X Cen,",DroID;mentha;FlyBase;IntAct,9814704;FBrf0235788,MI:0397;MI:1112;MI:0018,MI:0045,FBrf0235788 is part of FlyBi data
2299,448,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2299,2301,ad->db,"Screen_1,","Cen X Cen,",DroID;FlyBase;IntAct;mentha,FBrf0235788,MI:0018;MI:0397;MI:1112,None,FBrf0235788 is part of FlyBi data
2299,757,ad->db,"Screen_1,Screen_2,","Cen X Cen,",DroID;FlyBase,FBrf0235788,MI:0018,None,FBrf0235788 is part of FlyBi data
2302,46,ad->db,"Screen_4,","Cen X 2u,",None,None,None,None,None
2303,1201,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2303,697,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
2303,2241,ad->db,"Screen_3,","Cen X 2u,",None,None,None,None,None
