# index, name, _pos
210,PDA,"array([41.48468392, -3.18479281])"
211,DB01,"array([ 38.01559958, -54.04579539])"
212,DB02,"array([17.10813616, 33.59142612])"
213,DB03,"array([ 38.90162163, -14.46832624])"
214,DB04,"array([ 40.00355004, -12.42460833])"
215,DB05,"array([ 42.98813963, -12.48844557])"
216,DB06,"array([38.40852931, -9.63444913])"
217,DB07,"array([38.11349724, -6.25751211])"
218,AS01,"array([ -7.01416761, -16.69593812])"
219,AS02,"array([ 8.45391337, 21.67921134])"
220,AS03,"array([ 58.15346448, -41.6892445 ])"
221,AS04,"array([ -0.76648031, -45.94426684])"
222,AS05,"array([59.9867129 , 20.34405662])"
223,AS06,"array([ 35.25760796, -59.06632732])"
224,AS07,"array([43.18365747, 28.46299167])"
225,AS08,"array([33.50328015, -3.1078891 ])"
226,AS09,"array([ 38.89760638, -12.70759151])"
227,AS10,"array([ 36.85129061, -10.85909534])"
228,AS11,"array([37.97044217, -4.77953759])"
229,PDB,"array([38.90534362, -2.05821443])"
230,DD01,"array([ -1.83921516, -16.80744594])"
231,DD02,"array([ 65.70456026, -27.94919837])"
232,DD03,"array([ 44.69350115, -10.37084495])"
233,DD04,"array([44.64719636, -8.16863919])"
234,DD05,"array([42.73099579, -8.02829109])"
235,DD06,"array([40.6426265 , -4.66010184])"
236,VA01,"array([25.7211518 , 28.01571633])"
237,VA02,"array([80.00320665, 11.06365087])"
238,VA03,"array([-16.435269  , -20.52617354])"
239,VA04,"array([ 47.13643743, -56.23866381])"
240,VA05,"array([68.98152064, 11.43490496])"
241,VA06,"array([  6.0159634 , -32.51167545])"
242,VA07,"array([19.39975025, 38.16600198])"
243,VA08,"array([ 74.56248443, -39.09113635])"
244,VA09,"array([ 40.85282287, -11.25636057])"
245,VA10,"array([40.88715394, -8.91616322])"
246,VA11,"array([41.79266605, -7.49732085])"
247,VA12,"array([40.27480117, -7.11568687])"
248,VB01,"array([ 71.16559446, -28.26867526])"
249,VB02,"array([ 7.64346375, 32.34348168])"
250,VB03,"array([ 68.48456817, -22.69471943])"
251,VB04,"array([ 37.29084361, -48.95119015])"
252,VB05,"array([ 41.50316231, -12.35484707])"
253,VB06,"array([ 41.40038708, -10.03109693])"
254,VB07,"array([ 43.23451246, -10.44459635])"
255,VB08,"array([41.87016719, -9.11617558])"
256,VB09,"array([40.86177229, -8.05886523])"
257,VB10,"array([41.02655157, -7.07160581])"
258,VB11,"array([39.30500998, -7.24080522])"
259,VD01,"array([  0.24428989, -40.00452982])"
260,VD02,"array([ 71.11411554, -17.34565164])"
261,VD03,"array([ 29.10645797, -58.57907016])"
262,VD04,"array([ 78.44371695, -20.6463145 ])"
263,VD05,"array([-18.16700661,  -2.30535688])"
264,VD06,"array([72.67721426, 27.05959871])"
265,VD07,"array([-1.32537624, 25.32548357])"
266,VD08,"array([0.7468182, 5.5603596])"
267,VD09,"array([43.30213417, -9.08443419])"
268,VD10,"array([43.73458482, -7.37279738])"
269,VD11,"array([42.6692421 , -6.67448118])"
270,VD12,"array([40.3696301 , -5.58511534])"
271,VD13,"array([39.59043255, -5.55644361])"
272,dBWML1,"array([14.66261865, 41.43553976])"
273,dBWML2,"array([28.09905736, 33.45327813])"
274,dBWML3,"array([64.63561735, 15.27285517])"
275,dBWML4,"array([ 10.49536669, -36.57859327])"
276,dBWML5,"array([-2.39065152, 30.5000843 ])"
277,dBWML6,"array([69.64415406,  5.96044925])"
278,dBWML7,"array([ -8.54563604, -26.60720176])"
279,dBWMR1,"array([-12.21938822, -16.24750784])"
280,dBWMR2,"array([ 7.56029423, 38.21151949])"
281,dBWMR3,"array([-16.07739098,   2.87489964])"
282,dBWMR4,"array([ 67.84571691, -33.52563745])"
283,dBWMR5,"array([48.55178881, 31.96290942])"
284,dBWMR6,"array([ 18.77903144, -47.28683748])"
285,dBWMR7,"array([41.51947395, 39.10248572])"
286,vBWML1,"array([73.43998085,  2.3238524 ])"
287,vBWML2,"array([ 51.89935722, -45.15727203])"
288,vBWML3,"array([ 22.77501096, -57.8980104 ])"
289,vBWML4,"array([74.52672946,  9.01599219])"
290,vBWML5,"array([-17.72027716, -14.63809178])"
291,vBWML6,"array([12.73029659, 30.75164473])"
292,vBWML7,"array([  2.5690259 , -27.80140395])"
293,vBWMR1,"array([ 73.81277468, -22.64091541])"
294,vBWMR2,"array([38.29829778, 34.49026495])"
295,vBWMR3,"array([31.46083205, 28.80422599])"
296,vBWMR4,"array([ 58.48886732, -46.60310289])"
297,vBWMR5,"array([ 24.24275998, -48.41910816])"
298,vBWMR6,"array([71.73159895, -2.90706835])"
299,vBWMR7,"array([ 76.37781618, -27.61149401])"
300,dBWML8,"array([-11.98031456, -31.4076603 ])"
301,dBWML9,"array([-2.54459241, 15.15685553])"
302,dBWML10,"array([23.06660208, 33.50620248])"
303,dBWML11,"array([47.18239797, 37.67738166])"
304,dBWML12,"array([85.05987663, -9.96370286])"
305,dBWML13,"array([ 83.8952595 , -20.42857217])"
306,dBWML14,"array([ -5.33008553, -41.6680542 ])"
307,dBWML15,"array([ 68.86595203, -38.86666113])"
308,dBWML16,"array([-10.87027104,   9.18537826])"
309,dBWML17,"array([ 3.56112356, 28.50145644])"
310,dBWML18,"array([62.90774707, 35.91686541])"
311,dBWML19,"array([43.4004171 , 33.69257116])"
312,dBWML20,"array([ -5.9524046 , -31.50876577])"
313,dBWML21,"array([14.76084452, 26.2615141 ])"
314,dBWML22,"array([ -5.31624328, -21.98993541])"
315,dBWML23,"array([-10.69103278, -21.48375613])"
316,dBWML24,"array([ 8.17625858, 16.42587449])"
317,dBWMR8,"array([  9.14045329, -47.48259249])"
318,dBWMR9,"array([ 63.76679298, -43.28333038])"
319,dBWMR10,"array([ 15.64392556, -40.11691133])"
320,dBWMR11,"array([ 21.26056783, -42.70550413])"
321,dBWMR12,"array([ 78.81878745, -32.88978961])"
322,dBWMR13,"array([ 13.89248501, -44.9901765 ])"
323,dBWMR14,"array([-8.20299827, -6.19799641])"
324,dBWMR15,"array([13.6559324 , 21.16150529])"
325,dBWMR16,"array([80.22548014, -5.73422625])"
326,dBWMR17,"array([ 71.95274757, -11.57844975])"
327,dBWMR18,"array([ 30.39520945, -48.99970919])"
328,dBWMR19,"array([ 82.84004363, -15.07696102])"
329,dBWMR20,"array([ 53.99020094, -49.80917916])"
330,dBWMR21,"array([59.99349173, 25.88362133])"
331,dBWMR22,"array([ 4.10690397, 11.60041939])"
332,dBWMR23,"array([76.20198259, 21.27653166])"
333,dBWMR24,"array([78.31326272,  4.92872369])"
334,vBWML8,"array([24.95513208, 38.58374203])"
335,vBWML9,"array([ 8.89794447, 26.773193  ])"
336,vBWML10,"array([  0.45672928, -32.91395015])"
337,vBWML11,"array([ 32.59281892, -53.62424762])"
338,vBWML12,"array([ -7.66163627, -11.4193008 ])"
339,vBWML13,"array([ -2.84416625, -27.37523782])"
340,vBWML14,"array([85.43703763, -3.85549765])"
341,vBWML15,"array([45.43588498, 43.32818138])"
342,vBWML16,"array([ 73.25094559, -33.59421605])"
343,vBWML17,"array([35.75785991, 39.49246897])"
344,vBWML18,"array([-16.20341888,   8.2677225 ])"
345,vBWML19,"array([ 40.20576576, -44.23897799])"
346,vBWML20,"array([66.19682683, 25.97563866])"
347,vBWML21,"array([ 47.02830382, -42.26466573])"
348,vBWML22,"array([ 69.61119693, -44.48335569])"
349,vBWML23,"array([ 78.79698097, -11.08440645])"
350,vBWMR8,"array([ -9.1894793 , -36.63351903])"
351,vBWMR9,"array([-4.71222715,  4.28128397])"
352,vBWMR10,"array([-18.41581263,  -8.63187618])"
353,vBWMR11,"array([27.15435172, 44.02578426])"
354,vBWMR12,"array([52.59079482, 35.4097432 ])"
355,vBWMR13,"array([ 41.81701917, -58.26821938])"
356,vBWMR14,"array([ 81.57393131, -26.2311526 ])"
357,vBWMR15,"array([ 3.82208255, 23.0891023 ])"
358,vBWMR16,"array([  4.49962806, -43.81853921])"
359,vBWMR17,"array([-7.91020544, 14.43640563])"
360,vBWMR18,"array([30.28047087, 39.00283231])"
361,vBWMR19,"array([39.18207892, 44.36700208])"
362,vBWMR20,"array([ 16.16524615, -56.20923358])"
363,vBWMR21,"array([83.15977855,  1.21047635])"
364,vBWMR22,"array([ 2.35678918, 34.26222053])"
365,vBWMR23,"array([21.15081363, 43.34295066])"
366,vBWMR24,"array([79.8420811, 16.7228479])"
367,CEPshDL,"array([ 37.56916839, -19.93873221])"
368,CEPshDR,"array([ 34.52394585, -19.98076152])"
369,CEPshVL,"array([ 31.23060846, -17.35202138])"
370,CEPshVR,"array([31.25441815, -5.00219056])"
371,GLRDL,"array([19.87076001, 29.46687315])"
372,GLRDR,"array([57.19111132, 38.87789518])"
373,GLRL,"array([-12.87266075, -10.9557418 ])"
374,GLRR,"array([70.7033249 , 22.05067427])"
375,GLRVL,"array([ 24.87525614, -18.90375881])"
376,GLRVR,"array([ 23.6847647 , -14.47146426])"
377,CANL,"array([ 52.80109835, -39.83193439])"
378,CANR,"array([54.90858699, 24.10338292])"
379,exc_cell,"array([  9.64893474, -53.41868416])"
380,exc_gl,"array([74.70391479, 14.49507472])"
381,hmc,"array([ 14.52166489, -50.71631839])"
382,hyp,"array([37.55202983, -5.34319167])"
383,mu_intL,"array([-13.50597553,  -5.75399792])"
384,mu_intR,"array([ 26.65059622, -53.34464826])"
385,mu_anal,"array([ 76.44598868, -15.76737259])"
386,mu_sph,"array([74.79350553, -7.07373568])"
387,CEMDL,"array([ 35.35814378, -13.41313003])"
388,CEMDR,"array([30.23455401, -5.85801395])"
389,CEMVL,"array([ 33.85313368, -13.27656594])"
390,CEMVR,"array([31.83751031, -6.93351986])"
391,MCML,"array([ 35.78719844, -10.65271119])"
392,MCMR,"array([32.27526919, -5.64970385])"
393,R1AL,"array([36.90914591, -4.50390015])"
394,R1AR,"array([37.39575952,  2.45614904])"
395,R1BL,"array([35.25696717, -0.11910673])"
396,R1BR,"array([37.61986409, -4.28225638])"
397,R2AL,"array([37.68392004, -2.47332252])"
398,R2AR,"array([37.94970907,  0.33250074])"
399,R2BL,"array([39.91692389, -1.59456415])"
400,R2BR,"array([40.88405277, -1.37497613])"
401,R3AL,"array([36.41584985, -2.73306152])"
402,R3AR,"array([35.98103932, -3.50129029])"
403,R3BL,"array([37.87512447, -1.69111589])"
404,R3BR,"array([39.45120067, -2.96892356])"
405,R4AL,"array([36.6171405, -0.5334418])"
406,R4AR,"array([37.38964051, -0.31691889])"
407,R4BL,"array([39.09294377, -0.20762921])"
408,R4BR,"array([40.1526206 , -1.06283028])"
409,R5AL,"array([35.93164992,  1.07680639])"
